13:23:37:511 [ALWAYS]	GUDE Logging Started
13:23:37:511 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:23:37:511 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:23:37:511 [ERROR]	Initialize resume cache pointer failure
13:23:37:511 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
13:23:37:511 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
13:23:40:530 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
13:23:40:531 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:23:40:531 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:23:40:531 [ERROR]	Initialize resume cache pointer failure
13:23:40:531 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
13:23:40:531 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
